T [K],F [eV/atom]
108.06999999999998,-4.263004560347455
108.08500000000004,-4.263004516152591
108.10000000000002,-4.263004473439493
108.11500000000002,-4.263004432195726
108.12999999999998,-4.263004392373681
108.14500000000002,-4.263004353956969
108.15999999999994,-4.263004316819136
108.17500000000001,-4.263004280833272
108.18999999999997,-4.263004245851212
108.20500000000001,-4.263004211688346
108.22000000000004,-4.263004178246151
108.23499999999994,-4.263004145444449
108.25000000000003,-4.2630041132125065
108.265,-4.263004081421721
108.28000000000006,-4.263004049864601
108.29499999999996,-4.263004018329206
108.30999999999996,-4.263003986725006
108.32499999999996,-4.263003955044017
108.34,-4.2630039232743755
108.35499999999995,-4.2630038914155035
108.36999999999995,-4.2630038594116435
108.385,-4.263003827197498
108.39999999999999,-4.263003794737225
108.41500000000003,-4.263003762046621
108.43000000000005,-4.263003729162248
108.44500000000004,-4.263003696139817
108.45999999999997,-4.263003663008787
108.47499999999998,-4.263003629825452
108.48999999999995,-4.263003596682142
108.50500000000005,-4.263003563608782
108.52000000000001,-4.263003530639439
108.53499999999995,-4.2630034978488665
108.55,-4.263003465402034
108.56499999999998,-4.2630034335159595
108.58000000000006,-4.263003402363817
108.595,-4.26300337210849
108.60999999999996,-4.263003342972451
108.62500000000004,-4.263003315225667
108.63999999999996,-4.263003289062732
108.65499999999994,-4.2630032646066365
108.66999999999994,-4.2630032420442525
108.68499999999999,-4.263003221499912
108.70000000000002,-4.263003203036783
108.71500000000005,-4.263003186633187
108.73,-4.263003172124367
108.74499999999995,-4.263003159301116
108.76000000000003,-4.263003147974867
108.77500000000005,-4.263003137983218
108.79000000000006,-4.26300312917672
108.80499999999998,-4.263003121409516
108.82000000000005,-4.263003114427281
108.835,-4.263003107974332
108.85000000000004,-4.263003101798129
108.86499999999998,-4.263003095652313
108.87999999999995,-4.263003089301737
108.89499999999995,-4.263003082458884
108.91,-4.26300307488573
108.92499999999995,-4.2630030663976735
108.94000000000004,-4.263003056955555
108.95500000000001,-4.263003046631136
108.97000000000004,-4.26300303548342
108.985,-4.263003023522448
109.00000000000006,-4.263003010739786
109.01500000000001,-4.263002997122205
109.03000000000006,-4.263002982743396
109.04499999999996,-4.2630029677034385
109.05999999999996,-4.2630029519985895
109.07499999999996,-4.263002935689784
109.09000000000006,-4.263002918957965
109.10499999999998,-4.263002901931436
109.12000000000005,-4.263002884767003
109.13500000000005,-4.2630028676813
109.15000000000005,-4.263002850818768
109.16499999999995,-4.263002834278347
109.17999999999996,-4.263002818168319
109.19499999999998,-4.263002802641189
109.21000000000005,-4.263002787750949
109.22500000000004,-4.263002773475332
109.23999999999994,-4.263002759774412
109.25500000000004,-4.263002746652494
109.26999999999995,-4.263002734137019
109.28500000000003,-4.263002722238855
109.29999999999995,-4.263002710985417
109.31500000000001,-4.263002700345927
109.33,-4.263002690316062
109.345,-4.263002680945305
109.35999999999999,-4.263002672205043
109.37500000000003,-4.263002664096603
109.39000000000003,-4.263002656734572
109.40499999999997,-4.263002650226496
109.41999999999997,-4.263002644680044
109.43499999999996,-4.263002640180895
109.44999999999995,-4.263002636728535
109.46499999999996,-4.2630026343116265
109.47999999999996,-4.263002633001246
109.49499999999999,-4.2630026328381945
109.50999999999996,-4.263002633739581
109.52499999999998,-4.263002635611523
109.54,-4.263002638325539
109.55499999999996,-4.2630026417448885
109.56999999999996,-4.263002645812647
109.585,-4.263002650497224
109.60000000000007,-4.263002655639421
109.61500000000001,-4.263002661043638
109.62999999999997,-4.263002666614315
109.64499999999995,-4.263002672313581
109.66000000000005,-4.263002678107404
109.67500000000004,-4.263002683957642
109.69000000000005,-4.263002689913224
109.70500000000001,-4.263002696064155
109.72,-4.263002702455314
109.73499999999997,-4.263002709122846
109.75000000000003,-4.263002716141994
109.76500000000004,-4.263002723536951
109.78000000000002,-4.263002731327751
109.79499999999999,-4.263002739608612
109.80999999999999,-4.2630027484145705
109.82500000000005,-4.263002757757529
109.84000000000006,-4.263002767723048
109.85500000000003,-4.263002778403685
109.86999999999999,-4.263002789854458
109.885,-4.263002802120323
109.89999999999996,-4.263002815231202
109.91499999999996,-4.2630028292469575
109.92999999999995,-4.263002844297771
109.94500000000001,-4.263002860442405
109.95999999999997,-4.263002877750721
109.97499999999995,-4.263002896310769
109.99000000000004,-4.263002916162491
110.00500000000001,-4.263002937371718
110.01999999999995,-4.26300295991853
110.03500000000003,-4.263002983763974
110.04999999999995,-4.263003008829273
110.065,-4.263003035002638
110.08000000000006,-4.263003062269253
110.09500000000006,-4.263003090638057
110.10999999999994,-4.26300312010751
110.12500000000004,-4.263003150654889
110.13999999999997,-4.263003182246061
110.15500000000003,-4.263003214805149
110.16999999999994,-4.263003248242094
110.18500000000004,-4.263003282446168
110.20000000000003,-4.26300331728749
110.21499999999997,-4.263003352716066
110.22999999999998,-4.2630033887220256
110.24499999999995,-4.263003425165776
110.25999999999999,-4.263003461797113
110.27499999999999,-4.263003498437732
110.28999999999995,-4.2630035349721584
110.30499999999998,-4.263003571331186
110.32000000000005,-4.263003607561764
110.33500000000001,-4.263003643823872
110.34999999999995,-4.263003680304312
110.36499999999998,-4.263003717083702
110.38000000000001,-4.263003754225514
110.395,-4.263003791799768
110.40999999999997,-4.263003829827168
110.42500000000001,-4.2630038683052085
110.43999999999997,-4.263003907279671
110.45500000000004,-4.26300394681007
110.46999999999996,-4.263003986907606
110.48499999999996,-4.2630040275935634
110.49999999999999,-4.2630040689033155
110.51500000000004,-4.263004110839674
110.52999999999994,-4.26300415332109
110.54499999999999,-4.263004196194423
110.55999999999993,-4.26300423936479
110.57499999999997,-4.2630042828150625
110.59000000000007,-4.263004326507477
110.60499999999998,-4.263004370487028
110.62,-4.263004414883001
110.63500000000002,-4.26300445978224
110.65,-4.263004505140465
110.66500000000005,-4.263004550860249
110.67999999999996,-4.263004596943805
110.69500000000005,-4.26300464339762
110.70999999999998,-4.263004690219777
110.72500000000005,-4.263004737477606
110.73999999999995,-4.263004785258342
110.75500000000005,-4.263004833663974
110.76999999999997,-4.26300488270309
110.78500000000004,-4.263004932246561
110.80000000000005,-4.263004982208205
110.81500000000005,-4.263005032630516
110.83000000000003,-4.26300508354819
110.84499999999997,-4.263005134953257
110.86000000000004,-4.263005186869221
110.87499999999996,-4.2630052392670015
110.89000000000004,-4.263005292199056
110.90499999999996,-4.263005345721705
110.91999999999996,-4.26300539984703
110.93500000000002,-4.263005454626433
110.94999999999997,-4.263005510101633
110.96500000000006,-4.263005566357636
110.97999999999998,-4.263005623442958
110.99499999999999,-4.263005681439898
111.00999999999996,-4.263005740287821
111.02499999999999,-4.263005799860269
111.03999999999996,-4.263005860181463
111.05499999999994,-4.2630059212255755
111.06999999999995,-4.263005982904152
111.08499999999998,-4.263006045155688
111.10000000000001,-4.263006107901423
111.11500000000005,-4.26300617106809
111.13000000000001,-4.263006234524493
111.14500000000005,-4.263006298262339
111.16000000000001,-4.263006362390346
111.17499999999998,-4.2630064268388015
111.18999999999996,-4.263006491484124
111.20499999999994,-4.263006556263465
111.22000000000006,-4.263006621144614
111.23500000000003,-4.263006686116654
111.25,-4.263006751176433
111.26499999999996,-4.263006816396997
111.27999999999996,-4.2630068818711715
111.29500000000002,-4.263006947678672
111.31,-4.2630070138048675
111.32500000000006,-4.263007080190665
111.33999999999995,-4.263007146857996
111.35499999999999,-4.263007213838009
111.36999999999996,-4.263007281246939
111.38499999999995,-4.263007349121586
111.40000000000003,-4.2630074174408525
111.41500000000003,-4.2630074862927865
111.43000000000005,-4.263007555756665
111.44499999999996,-4.263007625828618
111.46000000000001,-4.263007696521964
111.47499999999994,-4.2630077678579585
111.49,-4.263007839923739
111.50499999999998,-4.263007912923614
111.52,-4.263007987026535
111.53499999999998,-4.263008062329406
111.54999999999997,-4.263008138780429
111.56499999999998,-4.263008216310296
111.57999999999994,-4.263008294964646
111.59500000000004,-4.2630083747614504
111.61000000000006,-4.263008455693041
111.62499999999996,-4.263008537734642
111.63999999999999,-4.263008620861632
111.655,-4.263008705009153
111.67000000000003,-4.263008790057412
111.68500000000003,-4.263008875900692
111.70000000000005,-4.263008962485426
111.715,-4.263009049773322
111.72999999999998,-4.263009137670695
111.74499999999999,-4.263009226048349
111.75999999999999,-4.263009314781712
111.77500000000002,-4.26300940384046
111.78999999999999,-4.263009493295218
111.80499999999994,-4.26300958317368
111.82000000000004,-4.26300967343655
111.83500000000004,-4.263009764107147
